ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
1,7/2/2022 6:53,1626 Lyndon St,South Pasadena,CA,91030,6,None,Verified,4-6 units,< 14 units,-118.1489859,34.11124003
2,38:06.8,2050 Huntington Dr,South Pasadena,CA,91030,5,Site is a medical/ dental center. First floor has parking. Second floor has units. QC,Verified,4-6 units,< 14 units,-118.1381678,34.10503629
3,7/1/2022 7:20,2012 Huntington Dr,South Pasadena,CA,91030,12,None,Verified,10+ units,< 14 units,-118.1392429,34.10458639
4,7/1/2022 7:25,2035 Huntington Dr,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1378773,34.10461581
5,7/1/2022 7:28,2107 Huntington Dr,South Pasadena,CA,91030,9,None,Verified,7-9 units,< 14 units,-118.1369362,34.10516488
6,43:05.3,2111 Huntington Dr,South Pasadena,CA,91030,10,Also with 1801 Olive St. QC,Verified,10+ units,< 14 units,-118.1366505,34.10535419
7,7/1/2022 7:57,2126 Huntington Dr,South Pasadena,CA,91030,0,Did not attempt. Private indoor common area locked.,Denied Entry,,< 14 units,-118.1361492,34.1062294
8,7/1/2022 8:06,2114 Huntington Dr ,South Pasadena,CA,91030,0,Did not attempt. Gate to common outdoor area stated to beware of dog.,Denied Entry,,< 14 units,-118.1364121,34.10606071
9,7/1/2022 8:12,1974 Huntington Dr ,South Pasadena,CA,91030,0,Site is under construction and is not inhabited.,Denied Entry,,< 14 units,-118.1405366,34.10444701
10,43:21.6,1760 State St,South Pasadena,CA,91030,42,None,Verified,10+ units,14+ units,-118.1463738,34.12261669
11,7/11/2022 23:46,1800 State St,South Pasadena,CA,91030,96,Took picture but is not clear.,Verified,10+ units,14+ units,-118.1465612,34.12364981
12,48:52.9,1744 State St,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1465636,34.12144022
13,52:27.0,1732 State St,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1467454,34.12111939
14,53:57.3,1754 State St,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1463774,34.1221036
15,55:27.1,1748 State St,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1464346,34.12184821
16,03:22.6,1220 Lyndon St,South Pasadena,CA,91030,0,Did not attempt. Gate to common area locked. Warehouse unit.,Denied Entry,,< 14 units,-118.154689,34.11112423
17,06:47.2,1311 Fremont Ave,South Pasadena,CA,91030,5,None,Verified,4-6 units,< 14 units,-118.1533523,34.11054181
18,12:39.7,1972 Fletcher Ave,South Pasadena,CA,91030,0,Did not attempt. Is single unit housing.,Denied Entry,,< 14 units,-118.1422078,34.10148448
19,38:23.4,1311 Lyndon St,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1540996,34.11079096
20,42:06.4,1116 Fair Oaks Ave,South Pasadena,CA,91030,0,Did not attempt. Gate to common area locked.,Denied Entry,,< 14 units,-118.150168,34.11311789
21,45:01.1,1711 Oxley St,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1485733,34.11375596
22,48:29.4,1725 Oxley St,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1478267,34.11369789
23,51:33.4,1721 Oxley St,South Pasadena,CA,91030,14,None,Verified,10+ units,14+ units,-118.1480953,34.11370074
